date,store,product_name,product_id,category,unit,unit_size,price_aud,price_per_100g,on_special,special_price_aud,source_url
2026-03-25,ALDI,Lemon Each,aldi-lemon-each,fruit-veg,each,120,1.49,1.24,false,,https://www.aldi.com.au/products/fruits-vegetables/k/950000000
2026-03-25,ALDI,Lemons 5 Pack,aldi-lemons-5pk,fruit-veg,each,500,5.99,1.20,false,,https://www.aldi.com.au/products/fruits-vegetables/k/950000000
2026-03-25,ALDI,Red Seedless Grapes Loose,aldi-red-grapes-loose,fruit-veg,kg,900,4.49,0.499,false,,https://www.aldi.com.au/products/fruits-vegetables/k/950000000
2026-03-25,ALDI,Garlic 3 Pack,aldi-garlic-3pk,fruit-veg,each,150,2.99,1.99,false,,https://www.aldi.com.au/products/fruits-vegetables/k/950000000
2026-03-25,ALDI,Ginger Loose,aldi-ginger-loose,fruit-veg,kg,120,3.60,2.999,false,,https://www.aldi.com.au/products/fruits-vegetables/k/950000000
2026-03-25,ALDI,Gold Sweet Potatoes Loose,aldi-gold-sweet-potato-loose,fruit-veg,kg,450,1.80,0.399,false,,https://www.aldi.com.au/products/fruits-vegetables/k/950000000
2026-03-25,ALDI,Hass Avocado Each,aldi-hass-avocado-each,fruit-veg,each,200,1.99,0.995,false,,https://www.aldi.com.au/products/fruits-vegetables/k/950000000
2026-03-25,ALDI,Hass Avocados 5 Pack,aldi-hass-avocado-5pk,fruit-veg,each,1000,5.99,0.599,false,,https://www.aldi.com.au/products/fruits-vegetables/k/950000000
2026-03-25,ALDI,Kale Bunch,aldi-kale-bunch,fruit-veg,each,250,3.49,1.40,false,,https://www.aldi.com.au/products/fruits-vegetables/k/950000000
2026-03-25,ALDI,Kent Pumpkins Loose,aldi-kent-pumpkin-loose,fruit-veg,kg,1000,2.49,0.249,false,,https://www.aldi.com.au/products/fruits-vegetables/k/950000000
2026-03-25,ALDI,Lebanese Cucumbers 600g,aldi-lebanese-cucumbers-600g,fruit-veg,g,600,4.49,0.748,false,,https://www.aldi.com.au/products/fruits-vegetables/k/950000000
2026-03-25,ALDI,Strawberries 250g,aldi-strawberries-250g,fruit-veg,g,250,3.99,1.596,false,,https://www.aldi.com.au/products/fruits-vegetables/k/950000000
2026-03-25,ALDI,Baby Spinach 120g,aldi-baby-spinach-120g,fruit-veg,g,120,1.99,1.658,false,,https://www.aldi.com.au/products/fruits-vegetables/salads/k/1111111154
2026-03-25,ALDI,Baby Spinach 280g,aldi-baby-spinach-280g,fruit-veg,g,280,3.99,1.425,false,,https://www.aldi.com.au/products/fruits-vegetables/salads/k/1111111154
2026-03-25,ALDI,Carrots 1kg,aldi-carrots-1kg,fruit-veg,kg,1000,1.99,0.199,false,,https://www.aldi.com.au/products/fruits-vegetables/fresh-vegetables/k/1111111153?page=2
2026-03-25,ALDI,Brown Onions 1kg,aldi-brown-onions-1kg,fruit-veg,kg,1000,1.99,0.199,false,,https://www.aldi.com.au/products/fruits-vegetables/fresh-vegetables/k/1111111153
2026-03-25,ALDI,Broccoli Loose,aldi-broccoli-loose,fruit-veg,kg,340,1.87,0.549,false,,https://www.aldi.com.au/products/fruits-vegetables/fresh-vegetables/k/1111111153
2026-03-25,ALDI,Baby Broccoli Bunch,aldi-baby-broccoli-bunch,fruit-veg,each,250,2.49,0.996,false,,https://www.aldi.com.au/products/fruits-vegetables/fresh-vegetables/k/1111111153
2026-03-25,ALDI,Baby Carrots 500g,aldi-baby-carrots-500g,fruit-veg,g,500,1.49,0.298,false,,https://www.aldi.com.au/products/fruits-vegetables/fresh-vegetables/k/1111111153
2026-03-25,ALDI,Brussels Sprouts 500g,aldi-brussels-sprouts-500g,fruit-veg,g,500,3.99,0.798,false,,https://www.aldi.com.au/products/fruits-vegetables/fresh-vegetables/k/1111111153
2026-03-25,ALDI,Cabbage Half,aldi-cabbage-half,fruit-veg,each,700,3.49,0.499,false,,https://www.aldi.com.au/products/fruits-vegetables/fresh-vegetables/k/1111111153
2026-03-25,ALDI,White Cup Mushrooms 200g,aldi-white-mushrooms-200g,fruit-veg,g,200,3.49,1.745,false,,https://www.aldi.com.au/products/fruits-vegetables/fresh-vegetables/k/1111111153?page=3
2026-03-25,ALDI,White Cup Mushrooms 500g,aldi-white-mushrooms-500g,fruit-veg,g,500,6.29,1.258,false,,https://www.aldi.com.au/products/fruits-vegetables/fresh-vegetables/k/1111111153?page=3
2026-03-25,ALDI,Zucchini 500g,aldi-zucchini-500g,fruit-veg,g,500,1.99,0.398,false,,https://www.aldi.com.au/products/fruits-vegetables/fresh-vegetables/k/1111111153?page=3
2026-03-25,ALDI,Beans 375g,aldi-beans-375g,fruit-veg,g,375,2.99,0.797,false,,https://www.aldi.com.au/products/fruits-vegetables/fresh-vegetables/k/1111111153?page=3
2026-03-25,ALDI,Sweet Corn 500g,aldi-sweet-corn-500g,fruit-veg,g,500,2.99,0.598,false,,https://www.aldi.com.au/products/fruits-vegetables/fresh-vegetables/k/1111111153?page=2
2026-03-25,ALDI,Capsicums 750g,aldi-capsicums-750g,fruit-veg,g,750,4.99,0.665,false,,https://www.aldi.com.au/products/fruits-vegetables/fresh-vegetables/k/1111111153?page=2
2026-03-25,ALDI,Cauliflower Each,aldi-cauliflower-each,fruit-veg,each,800,4.49,0.561,false,,https://www.aldi.com.au/products/fruits-vegetables/fresh-vegetables/k/1111111153?page=2
